year,answer,question
2004,"Robert Caro's ""Means of Ascent"", a biography of this Texan President, recounts his early Senate victories",Lyndon Johnson
2004,Thurgood Marshall,Lyndon Johnson
2004,...John Glenn orbited the Earth for the first time,Lyndon Johnson
2004,This president had a pair of beagles named Him & Her,Lyndon Johnson
2005,You'll find this man's presidential library at the University of Texas in Austin,Lyndon Johnson
2005,Southwest Texas State (class of 1930),Lyndon Johnson
2005,In the 1930s this future U. S. president was secretary to former King Ranch foreman Richard Kleberg,Lyndon Johnson
2005,"In his first address to Congress: ""All I have I would have given gladly not to be standing here today\""",Lyndon Johnson
2005,"He taught debate & public speaking at a Houston, Texas high school",Lyndon Johnson
2006,"Stonewall, Texas",Lyndon Johnson
2007,"This future pres.'s 1948 Senate race is the subject of the musical ""The Winner"", which premiered in Texas in 2007",Lyndon Johnson
2008,"In 1968 this president cited a ""division in the American House"" & quit the upcoming race in the name of national unity",Lyndon Johnson
2008,"In 1968 Eric Goldman wrote ""The Tragedy of"" this president: ""A Historian's Personal Memoir\""",Lyndon Johnson
2010,"In a 1965 message to Congress, he said, ""poverty has many roots, but the tap root is ignorance\""",Lyndon Johnson
2011,"Opened in 1971, his presidential library is the farthest south",Lyndon Johnson
2012,The Jets beat the heavily favored Colts in Super Bowl III,Lyndon Johnson
2012,"His mom went to Baylor, but he began at Southwest Texas State Teachers College in 1927",Lyndon Johnson
2013,In 1951 this Texan became the Democratic whip; 10 years later he presided over the Senate as vice president,Lyndon Johnson
2014,He's the President seen here signing into law the Civil Rights Act of 1964,Lyndon Johnson
2015,"He gave the State of the Union address that called for a ""War on Poverty\""",Lyndon Johnson
2016,Martin Luther King Jr.,Lyndon Johnson
2018,"Stonewall, Texas",Lyndon Johnson
2018,He took the Oath of Office twice 14 months apart,Lyndon Johnson
2019,"Starting in 1973, Texas recognized August 27 as this man's birthday statewide",Lyndon Johnson
2019,Hubert Humphrey,Lyndon Johnson
