year,answer,question
1998,In 1962 Vaughn Meader's recorded impressions of this man sold a million copies in 2 weeks,John F. Kennedy
1998,"On Jan. 14, 1963 he said, ""The mere absence of war is not peace\""",John F. Kennedy
1998,"Fighting the sun at this man's inauguration, he declaimed, ""The land was ours before we were the land's\""",John F. Kennedy
1998,His delegates at the 1960 Democratic National Convention received PT 109 paperweights,John F. Kennedy
1999,Steel companies that raised prices $6 a ton were forced to roll them back by this president,John F. Kennedy
1999,1960,John F. Kennedy
1999,U.S. president: 1961-1963,John F. Kennedy
1999,"\""Why England Slept\""",John F. Kennedy
2000,"\""Let the word go forth from this time and place, to friend and foe alike, that the torch has been passed...\""",John F. Kennedy
2000,In 1961 this president appointed his brother-in-law Sargent Shriver as director of the Peace Corps,John F. Kennedy
2000,The plane he used for his 1960 presidential campaign was named Caroline,John F. Kennedy
2000,1974: William Devane,John F. Kennedy
2000,"On April 18, 1960 this Democratic presidential candidate said, ""I don't think that my religion is anyone's business\""",John F. Kennedy
2000,Thelonious Monk's Time magazine cover was pulled in 1963 for coverage of this man's death,John F. Kennedy
2000,Rose Fitzgerald,John F. Kennedy
2000,"This senator announced he was running for the presidency January 2, 1960",John F. Kennedy
2000,Dean Rusk,John F. Kennedy
2001,"Abraham Ribicoff, Dean Rusk, Robert McNamara",John F. Kennedy
2001,"Face it, he's on the front of the 2000 coin",John F. Kennedy
2001,"At 46 years, 177 days, he died at the youngest age of any president",John F. Kennedy
2001,"May 29, 1917 in Brookline, Massachusetts",John F. Kennedy
2001,"His death on Nov. 22, 1963 after riding through Dallas' Dealey Plaza shocked the world",John F. Kennedy
2001,"At a 1996 auction Jimmy Buffett paid $43,700 for a Jamie Wyeth lithograph of this president in a sailboat",John F. Kennedy
2001,1917-1963,John F. Kennedy
2001,"On May 29, 1963 Ann-Margret sang at this famous man's 46th, & last, birthday party",John F. Kennedy
2002,"When asked how he became a hero, this president remarked, ""It was involuntary.  They sank my boat\""",John F. Kennedy
2002,In 1960 this Democrat spoke first in the first televised U.S. presidential election debate,John F. Kennedy
2003,In 1957 he was awarded the Pulitzer Prize for Biography,John F. Kennedy
2003,In May 2001 Gerald Ford stopped into this president's library to pick up its Profiles in Courage Award,John F. Kennedy
2003,"Columbia Point, Boston, Massachusetts",John F. Kennedy
2003,In May 1961 he vowed to land a man on the moon & return him safely to Earth by the end of the decade,John F. Kennedy
2003,In 1943 the 11 survivors of the sunken PT Boat 109 were led to rescue & safety by this future U.S. president,John F. Kennedy
2003,"This man gave final approval to the ""Project Gnome"" Dec. 1961 test detonation of a 3-kiloton nuclear device",John F. Kennedy
2003,This president began appearing on the half dollar coin in 1964,John F. Kennedy
2003,This presidential candidate proposed the Peace Corps in a 2 A.M. speech to university students,John F. Kennedy
2004,This president was 39 when he won a Pulitzer Prize,John F. Kennedy
2004,"He also said, ""Ask not what America will do for you, but what together we can do for the freedom of man\""",John F. Kennedy
2004,"A president: ""Remembering Jack\""",John F. Kennedy
2004,"Seymour Hersh's ""The Dark Side of Camelot"" examines this president's administration & private life",John F. Kennedy
2004,"Seen here, his is one of the most visited graves at Arlington",John F. Kennedy
2004,"(Cheryl of the Clue Crew at the Berlin Wall)  In Berlin in 1963, this American said, ""Democracy is not perfect, but we never had to put a wall up to keep people in\""",John F. Kennedy
2004,"His term as U.S. president was just 1,036 days",John F. Kennedy
2005,Harvard (class of 1940),John F. Kennedy
2005,"In 1961: ""Ask not what your country can do for you; ask what you can do for your country\""",John F. Kennedy
2006,"He was the first former Boy Scout to become president, as well as the first Catholic",John F. Kennedy
2006,was the youngest man to be elected president,John F. Kennedy
2007,"When asked how he became a war hero, this president said, ""It was involuntary.  They sank my boat\""",John F. Kennedy
2007,His library has a desk that's an exact replica of the one that his son was photographed under in 1963,John F. Kennedy
2007,The Telstar Communications satellite relayed the first live TV pictures from the U.S. to Europe,John F. Kennedy
2008,"Before George W. Bush, he was the last president to have both his parents attend his inauguration",John F. Kennedy
2009,"In 1962 Colin was one of the 16,000 military advisers dispatched to South Vietnam by this president",John F. Kennedy
2010,"C.S. Lewis & Aldous Huxley's deaths on Nov. 22, 1963 were overshadowed by this man's death in Dallas",John F. Kennedy
2010,He is the only president of the United States to be awarded the Purple Heart,John F. Kennedy
2010,In April 1961 he signed off on a disastrous invasion of a neighboring country,John F. Kennedy
2011,"\""'Mister Sam' Rayburn is gone.  Neither this house nor the nation is the same without him\""",John F. Kennedy
2011,"Time magazine first mentioned him in 1939, when his father sent him on a diplomatic errand from London to Glasgow",John F. Kennedy
2012,"On June 26, 1963 he declared, ""All free men, wherever they may live, are citizens of Berlin\""",John F. Kennedy
2012,"86-year-old Robert Frost recited his poem ""The Gift Outright"" at this man's inauguration",John F. Kennedy
2012,"At Columbia Point in Boston, Massachusetts",John F. Kennedy
2013,"This sitting president received the University of Notre Dame's Laetare medal, given to American Catholics",John F. Kennedy
2014,"Seymour Hersh's ""The Dark Side of Camelot"" showed this president's reckless side",John F. Kennedy
2014,"Speechwriter Ted Sorensen witnessed the June 18, 1954 signing of this then-senator's will",John F. Kennedy
2014,In 1948 Ben Franklin was on our half-dollar piece; 1964 saw the first minting with this man's face,John F. Kennedy
2015,Rose Fitzgerald,John F. Kennedy
2016,"On Sept. 12, 1962 he proclaimed, ""We shall send to the moon, 240,000 miles away...a giant rocket more than 300 feet tall",John F. Kennedy
2018,Fitzgerald,John F. Kennedy
2019,"Thanks to a gift from Nikita Khrushchev, this president enjoyed a litter of dogs nicknamed ""pupniks\""",John F. Kennedy
