year,answer,question
1998,Henry A. Wallace,Franklin D. Roosevelt
1998,Harry Truman,Franklin D. Roosevelt
1998,"Ralph Bellamy played this polio-stricken president in ""Sunrise At Campobello\""",Franklin D. Roosevelt
1998,John Nance Garner,Franklin D. Roosevelt
1999,In 1932 this New Deal Democrat went from the New York governor's mansion to the White House,Franklin D. Roosevelt
1999,"8 days after his March 4, 1933 inauguration, he gave his first Fireside Chat",Franklin D. Roosevelt
1999,1944,Franklin D. Roosevelt
1999,"1945: ""I have a terrible headache\""",Franklin D. Roosevelt
2000,In 1927 this future president created the Georgia Warm Springs Foundation to help polio victims,Franklin D. Roosevelt
2000,The presidential library system formally began in 1939 when this man donated his papers to the federal government,Franklin D. Roosevelt
2000,"He added a sleeping basket to the presidential yacht, the U.S.S. Potomac, for his dog Fala",Franklin D. Roosevelt
2000,"His presidential election opponents were Hoover, Landon, Wilkie & Dewey",Franklin D. Roosevelt
2000,In 1905 he celebrated St. Patrick's Day by marrying one of his distant cousins,Franklin D. Roosevelt
2000,He chose John Nance Garner in 1932 & 1936,Franklin D. Roosevelt
2000,"\""In the field of world policy I would dedicate this nation to the policy of the good neighbor\""",Franklin D. Roosevelt
2000,This man who died in 1945 is immortalized on the coin,Franklin D. Roosevelt
2001,His daughter Anna accompanied him when he went to Yalta in 1945,Franklin D. Roosevelt
2001,1882-1945,Franklin D. Roosevelt
2001,"On July 4, 1941 he told the nation America can't be an oasis of liberty in a desert of dictatorship",Franklin D. Roosevelt
2001,Since 1946 a portrait of this president has appeared on the dime,Franklin D. Roosevelt
2001,"Later president, in 1920 he lost as a U.S. vice presidential candidate",Franklin D. Roosevelt
2001,"Herbert Hoover, Alf Landon, Wendell Willkie & then Thomas Dewey",Franklin D. Roosevelt
2001,"Congress first designated Disability Awareness Month in 1945, the year of this U.S. president's death",Franklin D. Roosevelt
2001,"Some opponents called him the ""Raw Dealocrat\""",Franklin D. Roosevelt
2001,Harry Truman,Franklin D. Roosevelt
2001,"\""In"" this man ""there died the greatest American friend we have ever known\""",Franklin D. Roosevelt
2001,"January 30, 1882 in Hyde Park, New York",Franklin D. Roosevelt
2001,In 1937 he became the first man sworn in as U.S. president on a January 20,Franklin D. Roosevelt
2001,He died just 83 days after starting his fourth term as president,Franklin D. Roosevelt
2003,"Yale has a chamberpot used by this ""New Deal"" President when he received an honorary degree at Yale",Franklin D. Roosevelt
2003,1933-1945,Franklin D. Roosevelt
2003,"On February 9, 1941 Churchill said he would tell this leader, ""Give us the tools, and we will finish the job\""",Franklin D. Roosevelt
2003,"4079 Albany Post Road, Hyde Park, New York",Franklin D. Roosevelt
2003,"During a family vacation in 1921, he fell ill with polio",Franklin D. Roosevelt
2003,"As part of his ""New Deal"", he took American currency off the gold standard in 1933",Franklin D. Roosevelt
2004,"To give the nominating speech for Al Smith in 1924, he rose from his wheelchair & made his way to the mike",Franklin D. Roosevelt
2004,"Using faulty poll figures, Literary Digest predicted his defeat for President in 1936; the Digest folded in 1937",Franklin D. Roosevelt
2004,Mount Rushmore was finished during this president's administration,Franklin D. Roosevelt
2005,"One final electoral college tally was Alf Landon, 8, this Democrat, 523",Franklin D. Roosevelt
2005,"In late 1943, a U.S. warship carrying this man to a summit in Tehran narrowly missed being destroyed by friendly fire",Franklin D. Roosevelt
2005,Polio struck this Hyde Park politician in 1921,Franklin D. Roosevelt
2006,"He was ""quoted"" as saying, ""the only thing we have to fear is fear itself...oh, and starvation. We might all starve\""",Franklin D. Roosevelt
2007,Harvard University (class of 1904),Franklin D. Roosevelt
2007,"The ""New Deal"" refers to the economic recovery & social reforms implemented by this U.S. president",Franklin D. Roosevelt
2017,"From his second inaugural address: ""I see one-third of a nation ill-housed, ill-clad, ill-nourished\""",Franklin D. Roosevelt
2019,Instructions by this American that his body was not to lie in state were found a few days too late in 1945,Franklin D. Roosevelt
