year,answer,question
1999,This future governor & U.S. president filed a report of a UFO sighting in 1969,Jimmy Carter
1999,In 1982 this former U.S. president founded his own center at Emory University,Jimmy Carter
1999,"The Kentucky Derby-winning jockey in 1878, or the president of the U.S. in 1978",Jimmy Carter
1999,This 20th C. Democrat is the only full term president to make no appointments to the Supreme Court,Jimmy Carter
1999,"His 1975 campaign autobiography was titled ""Why Not The Best\""",Jimmy Carter
1999,1976,Jimmy Carter
1999,His grandfather Kindred was the first of his family to settle in Georgia,Jimmy Carter
1999,"It's not me in the 1981 photo seen here, but it is this famous Georgian",Jimmy Carter
2000,His last act as president was turning on the National Christmas Tree lights for the Iran hostages' return,Jimmy Carter
2000,Born the farthest south,Jimmy Carter
2000,"\""The Man From Plains\""",Jimmy Carter
2000,"In 1976 this candidate's down-home mother ""Miss Lillian"" became a celebrity in her own right",Jimmy Carter
2000,Cyrus Vance,Jimmy Carter
2001,"\""Miss Lillian"" Gordy",Jimmy Carter
2001,"His mother, Miss Lillian, was a registered nurse in Georgia & a Peace Corps volunteer in the mid-1960s",Jimmy Carter
2001,"In ""An Hour Before Daylight"" this former president shares memories of growing up in rural Georgia",Jimmy Carter
2001,In 1995 this former U.S. president oversaw a ceasefire in Sudan to allow relief workers into war-torn areas,Jimmy Carter
2001,"In 1976 he said, ""I have looked on a lot of women with lust. I've committed adultery in my heart many times\""",Jimmy Carter
2002,He was Georgia's governor from 1971 to 1975,Jimmy Carter
2002,Gerald Ford,Jimmy Carter
2002,"Shortly after this U.S. president declared Iran ""an island of stability"", the Shah was overthrown",Jimmy Carter
2003,"1975: ""Why Not the Best?\""",Jimmy Carter
2003,"On Jan. 20, 1977 he decided to walk from the Capitol to the White House after his inauguration",Jimmy Carter
2003,...Three Mile Island's nuclear reactor No. 2 went kerflooey,Jimmy Carter
2003,This President was sharply criticized for pardoning Vietnam War draft evaders,Jimmy Carter
2003,Walter Mondale,Jimmy Carter
2003,1977-1981,Jimmy Carter
2004,"He is the eldest of 4 children; he had 2 sisters, Gloria & Ruth, & one brother, Billy",Jimmy Carter
2004,In 1976 Dan Aykroyd did his first televised impression of this presidential candidate,Jimmy Carter
2004,His recently won Nobel Peace Prize is now on display at his presidential library,Jimmy Carter
2004,"With a book about the South, he became the first president--past or present--to publish a novel",Jimmy Carter
2005,"His library is located at 441 Freedom Parkway, Atlanta, Georgia",Jimmy Carter
2005,In 1978 Ricardo Bordallo was Guam's head of government & this man was its head of state,Jimmy Carter
2006,"celebrated his 80th birthday October 1, 2004",Jimmy Carter
2006,"This famous man's entry features his 1960-62 chairmanship of the Sumter County, Georgia school board",Jimmy Carter
2006,"In 2005 he took his first submarine dive since he left the Navy in 1953, on a new nuclear vessel that's named for him",Jimmy Carter
2006,...the U.S. last won Winter Olympic men's ice hockey gold,Jimmy Carter
2007,"His ""Hornet's Nest"" was said to have ""stunningly salty language that probably would have delighted Miss Lillian\""",Jimmy Carter
2007,U.S. Naval Academy (class of 1946),Jimmy Carter
2007,Harold Brown was this president's Secretary of Defense,Jimmy Carter
2008,"\""Man from Plains\""",Jimmy Carter
2008,"The term ""Reagan Democrats"" came into pundit parlance after his loss in the 1980 presidential election",Jimmy Carter
2009,"As Georgia's gov., he shrank state government by merging about 300 state agencies & boards into about 30 agencies",Jimmy Carter
2009,He was Time magazine's Man of the Year for 1976,Jimmy Carter
2010,"In a 1976 Playboy interview, he said, ""I've committed adultery in my heart many times\""",Jimmy Carter
2010,"During his tenure, he never threw out an opening day first pitch, but before he was president, he did it for the Braves",Jimmy Carter
2010,In January this then little-known governor won the Iowa Democratic Caucus,Jimmy Carter
2010,"\""Not just peanuts\""",Jimmy Carter
2011,This president was the first to put solar panels on the White House,Jimmy Carter
2011,Secretary of State Cyrus Vance,Jimmy Carter
2011,"Instead of an elaborate meal, this southerner served peanuts & pretzels",Jimmy Carter
2012,"A grinning 13-foot-tall peanut in Plains, Georgia pays tribute to this native son",Jimmy Carter
2012,His Nobel Peace Prize is on display at his presidential library in Atlanta,Jimmy Carter
2013,Record holder for the longest time lived after leaving office,Jimmy Carter
2013,"Former White House Chief of Staff Hamilton Jordan penned ""Crisis: The Last Year of"" this man's presidency",Jimmy Carter
2014,"Brother Billy skipped the Plains, Georgia election-night party for this guy in 1980, but it was a bust anyway",Jimmy Carter
2015,"As a 5-year-old, he made $5 on Saturdays selling boiled peanuts on the street",Jimmy Carter
2015,"In ""Everything to Gain"", he & his wife touched upon their later lives & Habitat for Humanity",Jimmy Carter
2016,In 1976 this man beat Gerald Ford to win the White House,Jimmy Carter
2016,He ran an unsuccessful 1966 campaign for governor before a successful one 4 years later,Jimmy Carter
