year,answer,question
1999,This president who vetoed the bill to establish the Second Bank of the U.S. is on the $20 bill today,Andrew Jackson
1999,He was the first president born in a log cabin,Andrew Jackson
1999,"He continued to support the political career of protege James ""Young Hickory"" Polk",Andrew Jackson
1999,"He didn't officially meet with his cabinet for the first 2 years of his term, preferring his ""Kitchen Cabinet\""",Andrew Jackson
1999,He was one of the first 7 presidents of the U.S. (picture on $20 bill),Andrew Jackson
1999,"In 1829, in his 1st annual message to Congress, he questioned the constitutionality of the Bank of the U.S.",Andrew Jackson
2000,"John refused to attend the presidential inauguration of this man, his successor",Andrew Jackson
2000,"Hey, 20 bucks says that you know this president's father was from County Antrim & his mother was Irish, too",Andrew Jackson
2000,"The ""Land Hero of 1812\""",Andrew Jackson
2000,"After his wife Rachel died, his niece took over her duties; after she died, a daughter-in-law was summoned",Andrew Jackson
2001,John Quincy Adams & then Henry Clay,Andrew Jackson
2001,"On January 8, 1835 this man known as ""Old Hickory"" became the only president to pay off the national debt",Andrew Jackson
2001,He won the popular vote but lost the election of 1824,Andrew Jackson
2001,"Prior to going to New Orleans, this general captured Pensacola, Florida",Andrew Jackson
2001,(Jimmy Carter gives the clue from the Carter Center in Atlanta)  The Democratic Party's donkey dates back to this presidential candidate's 1828 campaign,Andrew Jackson
2001,"On April 15, 1821 President Monroe appointed him the first governor of the territory of Florida",Andrew Jackson
2001,"His 1791 marriage to Rachel Robards was invalid, so they had to do it all over again on January 17, 1794",Andrew Jackson
2002,"The Place D'Armes, a square in New Orleans, was renamed to honor this hero of the Battle of New Orleans",Andrew Jackson
2002,"Hopefully not the site of any of his duels, the White House is on the back of the U.S. bill faced by this president",Andrew Jackson
2002,"Among his nicknames were ""King Andrew the First"" & ""The Hero of New Orleans\""",Andrew Jackson
2002,"A yearly football game is played near the NC/SC border to ""settle"" the issue of this president's birthplace in 1767",Andrew Jackson
2002,"He kept some of his favorite racing fillies at the White House, including Emily & Lady Nashville",Andrew Jackson
2003,Inflation?  In 1907 he was on the 5-dollar bill; today he's worth 4 times that,Andrew Jackson
2003,"\""The Duel Fighter\""",Andrew Jackson
2003,"The only U.S. president to marry the same woman twice, once in 1791 & once in 1794",Andrew Jackson
2003,"In the 1830s this U.S. president began formulating policy with a group of advisors called the ""Kitchen Cabinet\""",Andrew Jackson
2003,"\""The Sage of The Hermitage\""",Andrew Jackson
2004,"He married Rachel Robards in 1791, but since her divorce was not yet final, they had to remarry on January 17, 1794",Andrew Jackson
2004,"Though not in the best of health, in 1840 he went to New Orleans to celebrate his battle victory's 25th anniversary",Andrew Jackson
2005,A.G. Roger Taney wrote this president's speech announcing the veto of the bill renewing the Bank of the U.S.,Andrew Jackson
2005,Martin Van Buren,Andrew Jackson
2006,"In 1832 Daniel Webster said his veto of the Bank Bill ""manifestly seeks to influence the poor against the rich\""",Andrew Jackson
2006,"In 1835 Richard Lawrence tried to kill this seventh U.S. president, the first time such an attempt was made",Andrew Jackson
2006,...the Alamo was besieged by Mexican forces,Andrew Jackson
2006,"Captured as a 14-year-old soldier in 1781, he was the only president who had ever been a prisoner of war",Andrew Jackson
2007,"The Democratic Party's symbol dates back to 1828, when this man was called a jackass in his run for the presidency",Andrew Jackson
2008,1828: John Quincy Adams,Andrew Jackson
2008,"March 15, 1767 in either North Carolina or South Carolina--no one knows for sure",Andrew Jackson
2008,"Zachary Taylor, Woodrow Wilson, Andrew Jackson",Andrew Jackson
2008,"In 1835, this U.S. president survived an assassination attempt when both pistols used by the gunman misfired",Andrew Jackson
2008,In 1821 this veteran of the Seminole Wars was appointed provisional gov. of Florida but didn't serve a year,Andrew Jackson
2009,"Hoping to say a final farewell to this friend, Sam Houston showed up at his Hermitage home minutes too late",Andrew Jackson
2010,He enjoyed gambling on the ponies; he also bred racehorses at his Hermitage home,Andrew Jackson
2010,Rachel Donelson Robards,Andrew Jackson
2010,"Jon Meacham's 2008 bestseller ""American Lion"" is a portrait of this president during his White House years",Andrew Jackson
2010,He shot & killed Charles Dickinson in an 1806 duel,Andrew Jackson
2011,In 1832 Crockett & his fellow Whigs opposed this president's position against the Bank of the United States,Andrew Jackson
2012,"Minted in 1767, he did enough to get his mug on our $20 bill",Andrew Jackson
2012,Thomas Sully painted the portrait of this man that's the basis for the $20 bill,Andrew Jackson
2012,Roger B. Taney,Andrew Jackson
2013,"A Maverick Democrat, Tyler defied this president & party leader in the early 1830s",Andrew Jackson
2014,Martin Van Buren succeeded him as president,Andrew Jackson
2014,"Because of his devotion & support to this former president, James K. Polk was nicknamed ""Young Hickory\""",Andrew Jackson
2014,He served as Tennessee's first U.S. representative,Andrew Jackson
2015,"JQA feuded with this successor & called him ""a barbarian who... could hardly spell his own name\""",Andrew Jackson
2015,He's worth 40% of Ulysses S. Grant,Andrew Jackson
2016,"The donkey as a Democratic symbol began in 1828 when this presidential hopeful was called a ""jackass\""",Andrew Jackson
2016,"To Martin van Buren: ""The bank, Mr. van Buren, is trying to kill me, but I will kill it\""",Andrew Jackson
2016,"The Hermitage, his Tennessee estate, has a cafe called the Kitchen Cabinet; its ham sandwich is named for Roger Taney",Andrew Jackson
