year,answer,question
2004,"Abigail, John Q., Charles",John Adams
2004,"Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States",John Adams
2005,"He died on Independence Day in 1826 in Quincy, Massachusetts",John Adams
2005,He presided over the Senate in the first Congress,John Adams
2005,Harvard (class of 1755),John Adams
2006,"His wife Abigail wrote to him in a 1776 letter, ""Remember the ladies... all men would be tyrants if they could\""",John Adams
2007,"First Number 2 to go to Number One, anti-tea tax, lived to be 90",John Adams
2007,"Alphabetically, he's the first U.S. vice president",John Adams
2007,"On 7/3/76 he wrote to his wife Abigail that the colonies ""are, and of right ought to be, free and independent states\""",John Adams
2007,"In October 1823 he wrote this man, his predecessor as president, to implore him to renew their friendship",John Adams
2008,This man cast the first tie-breaking vote in U.S. Senate history,John Adams
2008,"On June 21, 1798 this president told Congress he was going to break off relations with France",John Adams
2008,"Like his son, he served only one term as U.S. president",John Adams
2010,Abigail Smith,John Adams
2010,He had 2 daughters & 2 other sons in addition to the one who became president in 1825,John Adams
2011,Thomas Jefferson,John Adams
2012,"Charles, Thomas, John & Abigail",John Adams
2012,"This composer with a presidential name wrote the Pulitzer Prize-winning ""On the Transmigration of Souls"" to commemorate 9/11",John Adams
2012,"He later wrote the vice presidency was ""the most insignificant office that ever the invention of man contrived\""",John Adams
2014,He entered Harvard in 1751 at age 15,John Adams
2014,This tome by David McCullough came to the screen with David Morse as George Washington,John Adams
2014,"This president wrote 51 volumes including his time at Harvard, as a congressional delegate in 1774 & as a diplomat",John Adams
2014,"In 1798 this man was forced into making Hamilton 2nd-in-command of the army; later he rid his cabinet of ""Hamilton's spies\""",John Adams
2015,"\""Those Who Love"" by Irving Stone is a biographical novel of this president & his wife Abigail",John Adams
2015,John Marshall served this Founding Father (for one year),John Adams
2016,"In 1796 Samuel Miles became the first elector to switch his vote, voting for Thomas Jefferson instead of this man",John Adams
2017,"\""As wicked as he is mad"", this vice president got people ""alarmed by appearances of some eccentric tendencies\""",John Adams
2018,"This composer of ""Doctor Atomic"" has a presidential first & last name & for his middle name, Coolidge",John Adams
